# Avida time data
# Tue Oct 27 16:33:34 2015
#  1: update
#  2: avida time
#  3: average generation
#  4: num_executed?

0 0 0 30 
100 1.03086 6.77551 1470 
200 2.07342 14.8704 10620 
300 3.12392 22.722 28380 
400 4.17352 30.4704 54540 
500 5.20563 38.2705 90420 
600 6.20977 46.3851 107640 
700 7.18004 54.6243 107850 
800 8.11912 63.9219 107880 
900 8.9907 74.886 107850 
1000 9.70413 91.0575 107910 
